lon,lat,transmission_efficiency_weighted,temp_mean,rh_mean,vegetation_index,ruggedness,hfp,ndvi_mean,veg_height_avg
-155,56,-0.794280591339171,278.5144,82.89,-0.24694920385150965,1.18341,0.75466,0.494196,0.2
-155,57,-0.7991337936216966,277.52689,82.93,-0.5076594578286531,9.92387,0.21288,0.395143,1.99
-155,58,-0.7997652216847205,273.70044,84.9,-1.5410268237205738,33.68573,0.00423,0.073812,4.34
-155,59,-0.8007768074776677,274.70721,80.52,-1.013582598600508,16.2847,1.05641,0.171732,7.54
-155,60,-0.7993577516605248,271.76837,78.83,-0.1944684042409812,21.60202,0.41714,0.190994,21.35
-155,61,-0.8018823223156232,270.52637,77.08,-0.1975474707578168,29.74201,0.0977,0.131854,25.23
-155,62,-0.8035678761846126,271.12503,74.01,0.9966335191271705,12.05632,0.19826,0.201451,42.6
-155,63,-0.815421157427332,270.7493,73.62,0.8240721141010185,14.51104,0.53421,0.113577,45.27
-155,64,-0.8185623349428577,270.6572,71.47,0.8047130057014187,6.59001,0.72885,0.061348,48.39
-155,65,-0.8085507442645934,268.63632,74.51,0.32288089514475193,16.9303,0.38825,0.033139,41.39
-155,66,-0.814841054729018,267.91946,73.58,0.48386736786566087,10.54,0.30658,0.077849,41.38
-155,67,-0.8339364017117725,263.34506,75.08,-1.8849108363532672,44.82779,1e-05,-0.050366,6.27
-155,68,-0.871002566313934,262.59592,76.85,-2.2115038543792744,18.37654,0.01329,-0.054835,0.55
-155,69,-0.8936802105066444,262.51797,78.41,-2.1757525971545966,4.40308,1.68435,-0.053352,1.11
-155,70,-0.8974510824809051,262.44284,79.95,-2.2318672913380615,0.76806,1.10091,-0.052209,0.0
-154,56,-0.7931580505614457,278.72125,83.15,-0.30526938857607244,1.84869,0.107,0.469791,0.75
-154,57,-0.789081171947791,276.1568,84.77,-0.9699403426423537,31.1243,0.49217,0.233086,4.26
-154,58,-0.798450400792894,277.16202,82.77,-1.2680929632682243,10.25326,0.24306,0.186614,1.86
-154,59,-0.7991303155272238,275.65729,80.1,-1.6528946030746066,19.61475,0.73818,0.06418,2.92
-154,60,-0.7989600686349275,269.13495,79.14,-1.8448442192982388,55.11163,0.18499,-0.03537,6.01
-154,61,-0.8024704005135074,267.42377,75.69,-1.8296138199308443,54.3209,0.00058,-0.03491,6.26
-154,62,-0.7998815688919609,269.77878,74.19,0.3260522055264925,28.88624,0.37373,0.174328,32.05
-154,63,-0.8110702341583751,271.00308,72.28,0.9299358215336055,10.69084,0.54985,0.095558,48.42
-154,64,-0.8103559146143641,270.25418,71.66,0.8829292121572007,12.99483,0.07996,0.063318,49.7
-154,65,-0.8058667207818926,268.71909,73.86,0.5640268002026892,13.57946,0.80347,0.051213,44.63
-154,66,-0.8201664422277634,267.54993,73.27,0.7170351664185939,13.48157,0.9836,0.087255,45.05
