species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Cincloramphus_bivittatus,3.105241200277454e-15,0.08375063528212169,0.00017564559632907053,0.8403459684711109,6.101320459709885e-08,1.461583291460594e-06,0.07571219762531202,1.4030428627686043e-05,12,3,Locustellidae_(Grassbirds_and_Allies),3.0,0.0,3.0,0.0,30.0,18.0,3.1,4.4,10.7,Oscines
Cincloramphus_cruralis,1.5741005173048603e-09,1.000302290753568e-05,0.00134627597252896,0.00015228262423524547,0.4062588581547913,0.08005533293047878,0.36571943503073495,0.14645781069022226,20,5,Locustellidae_(Grassbirds_and_Allies),2.0,0.0,2.0,3.0,49.22,20.3,4.2,4.5,23.0,Oscines
Cincloramphus_macrurus,1.1982510971418625e-06,0.03580830158787124,0.06943659665715884,0.07838835133844015,0.005338430356532051,0.05431653118186009,0.6326921570684797,0.12401843355855997,12,2,Locustellidae_(Grassbirds_and_Allies),3.0,0.0,3.0,0.0,21.55,16.4,3.3,4.3,13.5,Oscines
Cincloramphus_mathewsi,0.03545948530947342,0.034955023212418085,0.3692429114526627,0.20672792192647133,0.020523932024594658,0.05396899313228277,0.18920131592155198,0.08992041702054478,33,12,Locustellidae_(Grassbirds_and_Allies),2.0,0.0,2.0,3.0,29.34,16.6,3.6,3.9,21.4,Oscines
Cincloramphus_timoriensis,7.951922725771824e-16,3.00302111705494e-11,0.004469824026872541,0.062028183781074116,0.0003459968220447429,0.26655489071100136,0.6610684398539811,0.0055326647749950435,4,3,Locustellidae_(Grassbirds_and_Allies),3.0,0.0,3.0,0.0,21.55,15.5,3.4,3.9,13.5,Oscines
Cinclosoma_ajax,0.7500000000000001,0.0001544219736001954,0.0041011504363877,0.24564366305170582,6.614171597290686e-06,4.188170292700505e-06,1.5147355565363493e-09,8.996068168035e-05,8,2,Cinclosomatidae_(Quail-thrushes_and_Jewel-babblers),3.0,1.0,3.0,0.0,65.27,25.9,4.8,5.3,19.8,Oscines
Cinclosoma_castaneothorax,0.7238241965198503,1.826675705258e-05,2.071852130946273e-17,3.0006011669447763e-55,2.06919680906536e-15,0.27615753672309434,8.31200107111904e-22,1.6634763000186495e-18,6,2,Cinclosomatidae_(Quail-thrushes_and_Jewel-babblers),3.0,0.0,3.0,0.0,62.42,19.1,4.6,5.0,24.8,Oscines
Cinclosoma_clarum,0.40836511448018376,0.42795623102345337,0.14285656732670776,0.0020968487189790825,9.571497971607076e-07,0.018723861643965233,1.3738035126372255e-08,4.0591887782180706e-07,7,3,Cinclosomatidae_(Quail-thrushes_and_Jewel-babblers),3.0,0.0,3.0,0.0,73.33,21.4,4.3,5.0,24.3,Oscines
Cinclosoma_punctatum,0.5281473547200252,0.034696577966044806,1.781137134005966e-05,0.0001087381211029144,1.6779993391744205e-06,0.37868580830954435,0.05833947537363467,2.5561389691274155e-06,17,5,Cinclosomatidae_(Quail-thrushes_and_Jewel-babblers),3.0,0.0,3.0,0.0,113.31,22.2,4.6,5.5,21.8,Oscines
Cinclus_cinclus,2.462428180184122e-17,3.464188367724228e-05,0.02248714363240405,0.11112899158416711,0.012839169010571255,0.011837230282966927,0.32995736993185726,0.5117154536743561,112,12,Cinclidae_(Dippers),3.0,0.0,3.0,2.0,61.47,22.1,3.4,4.4,27.6,Oscines
