Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Androphobus viridis,Androphobus viridis,,,,,
Anhima cornuta,Anhima cornuta,,,,,
Anhinga anhinga,Anhinga anhinga,,,,,
Anhinga melanogaster,Anhinga melanogaster,,,,,
Anhinga novaehollandiae,Anhinga novaehollandiae,,,,,
Anhinga rufa,Anhinga rufa,,,,,
Anisognathus igniventris,Anisognathus igniventris,,,,,
Anisognathus lacrymosus,Anisognathus lacrymosus,,,,,
Anisognathus melanogenys,Anisognathus melanogenys,,,,,
Anisognathus notabilis,Anisognathus notabilis,,,,,
Anisognathus somptuosus,Anisognathus somptuosus,,,,,
Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus,,,,,
Anodorhynchus leari,Anodorhynchus leari,,,,,
Anomalospiza imberbis,Anomalospiza imberbis,,,,,
Anopetia gounellei,Anopetia gounellei,,,,,
Anorrhinus austeni,Anorrhinus austeni,,,,,
Anorrhinus galeritus,Anorrhinus galeritus,,,,,
Anorrhinus tickelli,Anorrhinus tickelli,,,,,
Procelsterna albivitta,Anous albivitta,,,,,
Procelsterna cerulea,Anous ceruleus,,,,,
Anous minutus,Anous minutus,,,,,
Anous stolidus,Anous stolidus,,,,,
Anous tenuirostris,Anous tenuirostris,,,,,
Anser albifrons,Anser albifrons,,,,,
Anser anser,Anser anser,,,,,
Anser brachyrhynchus,Anser brachyrhynchus,,,,,
Chen caerulescens,Anser caerulescens,,,,,
Chen canagica,Anser canagicus,,,,,
Anser cygnoides,Anser cygnoides,,,,,
Anser erythropus,Anser erythropus,,,,,
Anser indicus,Anser indicus,,,,,
Chen rossii,Anser rossii,,,,,
Anseranas semipalmata,Anseranas semipalmata,,,,,
Ficedula monileger,Anthipes monileger,Anthipes monileger,Anthipes monileger,,,
Ficedula solitaris,Anthipes solitaris,Anthipes solitaris,Anthipes solitaris,,,
Nectarinia violacea,Anthobaphes violacea,,,,,
Anthochaera carunculata,Anthochaera carunculata,Anthochaera carunculata,Merops carunculata,Anthochaera carunculata,,
Anthochaera chrysoptera,Anthochaera chrysoptera,Anthochaera chrysoptera,Merops chrysopterus,Anthochaera chrysoptera,,
Anthochaera lunulata,Anthochaera lunulata,,,,,
Anthochaera paradoxa,Anthochaera paradoxa,Anthochaera paradoxa,Anthochaera paradoxa,,,
Xanthomyza phrygia,Anthochaera phrygia,Anthochaera phrygia,Merops phrygius,Anthochaera phrygia,,
Anthornis melanura,Anthornis melanura,Anthornis melanura,Certhia melanura,Anthornis melanura,,
Anthoscopus caroli,Anthoscopus caroli,Anthoscopus caroli,Anthoscopus caroli,,,
Anthoscopus flavifrons,Anthoscopus flavifrons,,,,,
Anthoscopus minutus,Anthoscopus minutus,Anthoscopus minutus,Anthoscopus minutus,,,
Anthoscopus musculus,Anthoscopus musculus,,,,,
Anthoscopus parvulus,Anthoscopus parvulus,,,,,
Anthoscopus punctifrons,Anthoscopus punctifrons,,,,,
Anthracoceros albirostris,Anthracoceros albirostris,,,,,
Anthracoceros coronatus,Anthracoceros coronatus,,,,,
Anthracoceros malayanus,Anthracoceros malayanus,,,,,
Anthracoceros marchei,Anthracoceros marchei,,,,,
Anthracoceros montani,Anthracoceros montani,,,,,
Anthracothorax dominicus,Anthracothorax dominicus,,,,,
Anthracothorax mango,Anthracothorax mango,,,,,
Anthracothorax nigricollis,Anthracothorax nigricollis,,,,,
Anthracothorax prevostii,Anthracothorax prevostii,,,,,
Anthracothorax veraguensis,Anthracothorax veraguensis,,,,,
Anthracothorax viridigula,Anthracothorax viridigula,,,,,
Anthracothorax viridis,Anthracothorax viridis,,,,,
Anthreptes anchietae,Anthreptes anchietae,Anthreptes anchietae,Anthreptes anchietae,,,
Anthreptes aurantium,Anthreptes aurantius,,,,,
Anthreptes gabonicus,Anthreptes gabonicus,,,,,
Anthreptes longuemarei,Anthreptes longuemarei,,,,,
Anthreptes neglectus,Anthreptes neglectus,,,,,
Anthreptes orientalis,Anthreptes orientalis,,,,,
Anthreptes rectirostris,Anthreptes rectirostris,,,,,
Anthreptes reichenowi,Anthreptes reichenowi,Anthreptes reichenowi,Anthreptes reichenowi,,,
Anthreptes rhodolaemus,Anthreptes rhodolaemus,,,,,
Anthreptes rubritorques,Anthreptes rubritorques,,,,,
Nectarinia seimundi,Anthreptes seimundi,,,,,
Anthreptes simplex,Anthreptes simplex,,,,,
Grus paradisea,Anthropoides paradiseus,,,,,
Grus virgo,Anthropoides virgo,,,,,
Anthus antarcticus,Anthus antarcticus,,,,,
Anthus berthelotii,Anthus berthelotii,,,,,
Anthus bogotensis,Anthus bogotensis,Anthus bogotensis,Anthus bogotensis,,,
Anthus brachyurus,Anthus brachyurus,,,,,
Anthus caffer,Anthus caffer,,,,,
Anthus campestris,Anthus campestris,Anthus campestris,Alauda campestris,Anthus campestris,,
Anthus cervinus,Anthus cervinus,Anthus cervinus,Motacilla cervina,Anthus cervinus,,
Anthus chacoensis,Anthus chacoensis,,,,,
Anthus correndera,Anthus correndera,Anthus correndera,Anthus correndera,,,
Anthus crenatus,Anthus crenatus,Anthus crenatus,Anthus crenatus,,,
Anthus furcatus,Anthus furcatus,Anthus furcatus,Anthus furcatus,,,
Anthus godlewskii,Anthus godlewskii,Anthus godlewskii,Anthus godlewskii,,,
Anthus gustavi,Anthus gustavi,,,,,
Anthus gutturalis,Anthus gutturalis,,,,,
Anthus hellmayri,Anthus hellmayri,Anthus hellmayri,Anthus hellmayri,,,
Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,,,
Anthus hoeschi,Anthus hoeschi,,,,,
Anthus leucophrys,Anthus leucophrys,Anthus leucophrys,Anthus leucophrys,,,
Anthus lineiventris,Anthus lineiventris,Anthus lineiventris,Anthus lineiventris,,,
Anthus melindae,Anthus melindae,,,,,
Anthus nattereri,Anthus nattereri,,,,,
Anthus nilghiriensis,Anthus nilghiriensis,,,,,
Anthus novaeseelandiae,Anthus novaeseelandiae,,,,,
Anthus pallidiventris,Anthus pallidiventris,,,,,
Anthus petrosus,Anthus petrosus,Anthus petrosus,Alauda petrosa,Anthus petrosus,,
Anthus pratensis,Anthus pratensis,Anthus pratensis,Anthus pratensis,,,
Anthus roseatus,Anthus roseatus,Anthus roseatus,Anthus roseatus,,,
Anthus rubescens,Anthus rubescens,,,,,
Anthus rufulus,Anthus rufulus,Anthus rufulus,Anthus rufulus,,,
Anthus sokokensis,Anthus sokokensis,,,,,
Anthus spinoletta,Anthus spinoletta,Anthus spinoletta,Alauda spinoletta,Anthus spinoletta,,
Anthus spragueii,Anthus spragueii,,,,,
Anthus sylvanus,Anthus sylvanus,,,,,
Anthus trivialis,Anthus trivialis,Anthus trivialis,Anthus trivialis,,,
Anthus vaalensis,Anthus vaalensis,,,,,
Grus antigone,Antigone antigone,,,,,
Grus canadensis,Antigone canadensis,,,,,
Grus rubicunda,Antigone rubicunda,,,,,
Grus vipio,Antigone vipio,,,,,
Antilophia bokermanni,Antilophia bokermanni,,,,,
Antilophia galeata,Antilophia galeata,,,,,
Caprimulgus badius,Antrostomus badius,,,,,
Caprimulgus carolinensis,Antrostomus carolinensis,,,,,
Caprimulgus noctitherus,Antrostomus noctitherus,,,,,
Caprimulgus ridgwayi,Antrostomus ridgwayi,,,,,
Caprimulgus rufus,Antrostomus rufus,,,,,
Caprimulgus salvini,Antrostomus salvini,,,,,
Caprimulgus saturatus,Antrostomus saturatus,,,,,
Caprimulgus sericocaudatus,Antrostomus sericocaudatus,,,,,
Curaeus forbesi,Anumara forbesi,,,,,
Anumbius annumbi,Anumbius annumbi,Anumbius annumbi,Anumbius annumbi,,,
Anurolimnas castaneiceps,Anurolimnas castaneiceps,,,,,
Anurolimnas fasciatus,Anurolimnas fasciatus,,,,,
Anurolimnas viridis,Anurolimnas viridis,,,,,
Apalis alticola,Apalis alticola,Apalis alticola,Apalis alticola,,,
Apalis argentea,Apalis argentea,,,,,
Apalis bamendae,Apalis bamendae,,,,,
Apalis binotata,Apalis binotata,,,,,
Apalis chapini,Apalis chapini,Apalis chapini,Apalis chapini,,,
Apalis chariessa,Apalis chariessa,,,,,
Apalis chirindensis,Apalis chirindensis,,,,,
Apalis cinerea,Apalis cinerea,,,,,
Apalis flavida,Apalis flavida,Apalis flavida,Apalis flavida,,,
Apalis flavigularis,Apalis flavigularis,,,,,
Apalis fuscigularis,Apalis fuscigularis,,,,,
Apalis goslingi,Apalis goslingi,,,,,
Apalis jacksoni,Apalis jacksoni,Apalis jacksoni,Apalis jacksoni,,,
Apalis karamojae,Apalis karamojae,Apalis karamojae,Apalis karamojae,,,
Apalis lynesi,Apalis lynesi,,,,,
Apalis melanocephala,Apalis melanocephala,Apalis melanocephala,Apalis melanocephala,,,
Apalis nigriceps,Apalis nigriceps,,,,,
Apalis personata,Apalis personata,,,,,
Apalis ruddi,Apalis ruddi,Apalis ruddi,Apalis ruddi,,,
Apalis rufogularis,Apalis rufogularis,Apalis rufogularis,Apalis rufogularis,,,
Apalis sharpii,Apalis sharpii,Apalis sharpii,Apalis sharpii,,,
Apalis thoracica,Apalis thoracica,Apalis thoracica,Apalis thoracica,,,
Apaloderma aequatoriale,Apaloderma aequatoriale,,,,,
Apaloderma narina,Apaloderma narina,,,,,
Apaloderma vittatum,Apaloderma vittatum,,,,,
Apalopteron familiare,Apalopteron familiare,,,,,
Aphanotriccus audax,Aphanotriccus audax,,,,,
Aphanotriccus capitalis,Aphanotriccus capitalis,,,,,
Aphelocephala leucopsis,Aphelocephala leucopsis,Aphelocephala leucopsis,Aphelocephala leucopsis,,,
Aphelocephala nigricincta,Aphelocephala nigricincta,,,,,
Aphelocephala pectoralis,Aphelocephala pectoralis,,,,,
Aphelocoma coerulescens,Aphelocoma coerulescens,,,,,
Aphelocoma insularis,Aphelocoma insularis,,,,,
Aphelocoma unicolor,Aphelocoma unicolor,,,,,
Aphrastura masafuerae,Aphrastura masafuerae,,,,,
Aphrastura spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,,,
Lugensa brevirostris,Aphrodroma brevirostris,,,,,
Aplonis atrifusca,Aplonis atrifusca,,,,,
Aplonis brunneicapillus,Aplonis brunneicapillus,,,,,
Aplonis cantoroides,Aplonis cantoroides,,,,,
Aplonis cinerascens,Aplonis cinerascens,,,,,
Aplonis crassa,Aplonis crassa,,,,,
Aplonis dichroa,Aplonis dichroa,,,,,
Aplonis feadensis,Aplonis feadensis,,,,,
Aplonis grandis,Aplonis grandis,,,,,
Aplonis insularis,Aplonis insularis,,,,,
Aplonis magna,Aplonis magna,,,,,
Aplonis metallica,Aplonis metallica,,,,,
Aplonis minor,Aplonis minor,,,,,
Aplonis mysolensis,Aplonis mysolensis,,,,,
Aplonis mystacea,Aplonis mystacea,,,,,
Aplonis opaca,Aplonis opaca,,,,,
Aplonis panayensis,Aplonis panayensis,,,,,
Aplonis pelzelni,Aplonis pelzelni,,,,,
Aplonis santovestris,Aplonis santovestris,,,,,
Aplonis striata,Aplonis striata,,,,,
Aplonis tabuensis,Aplonis tabuensis,,,,,
Aplonis zelandica,Aplonis zelandica,,,,,
Myrmeciza disjuncta,Aprositornis disjuncta,Myrmeciza disjuncta,,,,
Aprosmictus erythropterus,Aprosmictus erythropterus,,,,,
Aprosmictus jonquillaceus,Aprosmictus jonquillaceus,,,,,
Aptenodytes forsteri,Aptenodytes forsteri,,,,,
Aptenodytes patagonicus,Aptenodytes patagonicus,,,,,
Apteryx haastii,Apteryx haastii,,,,,
Apteryx mantelli,Apteryx mantelli,,,,,
Apteryx owenii,Apteryx owenii,,,,,
Apus acuticauda,Apus acuticauda,,,,,
Tachymarptis aequatorialis,Apus aequatorialis,,,,,
Apus affinis,Apus affinis,,,,,
Apus alexandri,Apus alexandri,,,,,
Apus apus,Apus apus,,,,,
Apus balstoni,Apus balstoni,,,,,
Apus batesi,Apus batesi,,,,,
Apus berliozi,Apus berliozi,,,,,
Apus bradfieldi,Apus bradfieldi,,,,,
Apus caffer,Apus caffer,,,,,
Tachymarptis melba,Apus melba,,,,,
Apus niansae,Apus niansae,,,,,
Apus nipalensis,Apus nipalensis,,,,,
Apus pallidus,Apus pallidus,,,,,
Apus unicolor,Apus unicolor,,,,,
Aquila adalberti,Aquila adalberti,,,,,
Aquila africanus,Aquila africana,,,,,
Aquila audax,Aquila audax,,,,,
Aquila chrysaetos,Aquila chrysaetos,,,,,
Aquila fasciatus,Aquila fasciata,,,,,
Aquila gurneyi,Aquila gurneyi,,,,,
Aquila heliaca,Aquila heliaca,,,,,
Aquila nipalensis,Aquila nipalensis,,,,,
Aquila rapax,Aquila rapax,,,,,
Hieraaetus spilogaster,Aquila spilogaster,,,,,
Aquila verreauxii,Aquila verreauxii,,,,,
Ara ambiguus,Ara ambiguus,,,,,
Ara ararauna,Ara ararauna,,,,,
Ara chloropterus,Ara chloropterus,,,,,
Ara glaucogularis,Ara glaucogularis,,,,,
Ara macao,Ara macao,,,,,
Ara militaris,Ara militaris,,,,,
Ara rubrogenys,Ara rubrogenys,,,,,
Ara severus,Ara severus,,,,,
Arachnothera chrysogenys,Arachnothera chrysogenys,,,,,
Arachnothera clarae,Arachnothera clarae,,,,,
Arachnothera crassirostris,Arachnothera crassirostris,,,,,
Arachnothera everetti,Arachnothera everetti,,,,,
Arachnothera flavigaster,Arachnothera flavigaster,,,,,
Arachnothera juliae,Arachnothera juliae,,,,,
Arachnothera magna,Arachnothera magna,,,,,
Arachnothera robusta,Arachnothera robusta,,,,,
Aramides axillaris,Aramides axillaris,,,,,
Aramides calopterus,Aramides calopterus,,,,,
Aramides mangle,Aramides mangle,,,,,
Aramides saracura,Aramides saracura,,,,,
Aramides wolfi,Aramides wolfi,,,,,
Aramides ypecaha,Aramides ypecaha,,,,,
Aramidopsis plateni,Aramidopsis plateni,,,,,
Aramus guarauna,Aramus guarauna,,,,,
Aratinga auricapillus,Aratinga auricapillus,,,,,
Aratinga jandaya,Aratinga jandaya,,,,,
Nandayus nenday,Aratinga nenday,,,,,
Aratinga weddellii,Aratinga weddellii,,,,,
Arborophila ardens,Arborophila ardens,,,,,
Arborophila atrogularis,Arborophila atrogularis,,,,,
Arborophila brunneopectus,Arborophila brunneopectus,,,,,
Arborophila cambodiana,Arborophila cambodiana,,,,,
Arborophila campbelli,Arborophila campbelli,,,,,
Arborophila crudigularis,Arborophila crudigularis,,,,,
Arborophila davidi,Arborophila davidi,,,,,
Arborophila gingica,Arborophila gingica,,,,,
Arborophila hyperythra,Arborophila hyperythra,,,,,
Arborophila javanica,Arborophila javanica,,,,,
Arborophila mandellii,Arborophila mandellii,,,,,
Arborophila orientalis,Arborophila orientalis,,,,,
Arborophila rolli,Arborophila rolli,,,,,
Arborophila rubrirostris,Arborophila rubrirostris,,,,,
Arborophila rufipectus,Arborophila rufipectus,,,,,
Arborophila rufogularis,Arborophila rufogularis,,,,,
Arborophila sumatrana,Arborophila sumatrana,,,,,
Arborophila torqueola,Arborophila torqueola,,,,,
Modulatrix orostruthus,Arcanator orostruthus,,,,,
Archboldia papuensis,Archboldia papuensis,,,,,
Archilochus alexandri,Archilochus alexandri,,,,,
Archilochus colubris,Archilochus colubris,,,,,
Casmerodius albus,Ardea alba,,,,,
Ardea cinerea,Ardea cinerea,,,,,
Ardea cocoi,Ardea cocoi,,,,,
Ardea goliath,Ardea goliath,,,,,
Ardea herodias,Ardea herodias,,,,,
Ardea humbloti,Ardea humbloti,,,,,
Ardea insignis,Ardea insignis,,,,,
Mesophoyx intermedia,Ardea intermedia,,,,,
Ardea melanocephala,Ardea melanocephala,,,,,
Ardea pacifica,Ardea pacifica,,,,,
Ardea purpurea,Ardea purpurea,,,,,
Ardea sumatrana,Ardea sumatrana,,,,,
Puffinus bulleri,Ardenna bulleri,,,,,
Puffinus carneipes,Ardenna carneipes,,,,,
Puffinus creatopus,Ardenna creatopus,,,,,
Puffinus gravis,Ardenna gravis,,,,,
Puffinus griseus,Ardenna grisea,,,,,
Puffinus pacificus,Ardenna pacifica,,,,,
Puffinus tenuirostris,Ardenna tenuirostris,,,,,
Ardeola bacchus,Ardeola bacchus,,,,,
Ardeola grayii,Ardeola grayii,,,,,
Ardeola idae,Ardeola idae,,,,,
Ardeola ralloides,Ardeola ralloides,,,,,
Ardeola rufiventris,Ardeola rufiventris,,,,,
Ardeola speciosa,Ardeola speciosa,,,,,
Ardeotis arabs,Ardeotis arabs,,,,,
Ardeotis australis,Ardeotis australis,,,,,
Ardeotis kori,Ardeotis kori,,,,,
Ardeotis nigriceps,Ardeotis nigriceps,,,,,
Arenaria interpres,Arenaria interpres,,,,,
Arenaria melanocephala,Arenaria melanocephala,,,,,
Argusianus argus,Argusianus argus,,,,,
Turdoides affinis,Argya affinis,Turdoides affinis,Malacocircus affinis,Turdoides affinis,,
Turdoides altirostris,Argya altirostris,,,,,
Turdoides aylmeri,Argya aylmeri,,,,,
Garrulax cinereifrons,Argya cinereifrons,,,,,
Turdoides earlei,Argya earlei,Turdoides earlei,Argya earlei,Argya earlei,,
Turdoides fulva,Argya fulva,,,,,
Turdoides gularis,Argya gularis,,,,,
Turdoides longirostris,Argya longirostris,Turdoides longirostris,,,,
Turdoides malcolmi,Argya malcolmi,,,,,
Turdoides rubiginosa,Argya rubiginosa,,,,,
Turdoides rufescens,Argya rufescens,,,,,
Turdoides squamiceps,Argya squamiceps,,,,,
Turdoides striata,Argya striata,Argya striata,Turdoides striata,Argya striata,,
Turdoides subrufa,Argya subrufa,,,,,
Andropadus masukuensis,Arizelocichla masukuensis,,,,,
Andropadus milanjensis,Arizelocichla milanjensis,,,,,
Andropadus montanus,Arizelocichla montana,,,,,
Andropadus tephrolaemus,Arizelocichla tephrolaema,,,,,
Arremon abeillei,Arremon abeillei,Arremon abeillei,,,,
Arremon aurantiirostris,Arremon aurantiirostris,Arremon aurantiirostris,,,,
Arremon brunneinucha,Arremon brunneinucha,Arremon brunneinucha,Embernagra brunneinucha,Arremon brunneinucha,,
Arremon castaneiceps,Arremon castaneiceps,Arremon castaneiceps,,,,
Arremon crassirostris,Arremon crassirostris,,,,,
Arremon franciscanus,Arremon franciscanus,Arremon franciscanus,,,,
Arremon schlegeli,Arremon schlegeli,,,,,
Arremon semitorquatus,Arremon semitorquatus,Arremon semitorquatus,,,,
Arremon taciturnus,Arremon taciturnus,Arremon taciturnus,Tanagra taciturna,,,
Arremon virenticeps,Arremon virenticeps,Arremon virenticeps,Buarremon virenticeps,,,
Arremonops chloronotus,Arremonops chloronotus,Arremonops chloronotus,Arremonops chloronotus,,,
Arremonops conirostris,Arremonops conirostris,Arremonops conirostris,Arremonops conirostris,,,
Arremonops rufivirgatus,Arremonops rufivirgatus,Arremonops rufivirgatus,Arremonops rufivirgatus,,,
Arremonops tocuyensis,Arremonops tocuyensis,,,,,
Arses insularis,Arses insularis,,,,,
Arses kaupi,Arses kaupi,,,,,
Artamella viridis,Artamella viridis,,,,,
Artamus cinereus,Artamus cinereus,,,,,
Artamus cyanopterus,Artamus cyanopterus,Artamus cyanopterus,Loxia cyanoptera,Artamus cyanopterus,,
Artamus fuscus,Artamus fuscus,,,,,
Artamus insignis,Artamus insignis,,,,,
Artamus leucorynchus,Artamus leucorynchus,,,,,
Artamus maximus,Artamus maximus,Artamus maximus,Artamus maximus,,,
Artamus mentalis,Artamus mentalis,,,,,
Artamus minor,Artamus minor,,,,,
Artamus monachus,Artamus monachus,,,,,
Artamus personatus,Artamus personatus,,,,,
Artamus superciliosus,Artamus superciliosus,,,,,
Artisornis metopias,Artisornis metopias,,,,,
Artisornis moreaui,Artisornis moreaui,Artisornis moreaui,Artisornis moreaui,,,
Acrocephalus aedon,Arundinax aedon,Arundinax aedon,Muscicapa aedon,Arundinax aedon,,
Arundinicola leucocephala,Arundinicola leucocephala,Arundinicola leucocephala,Arundinicola leucocephala,,,
Cairina scutulata,Asarcornis scutulata,,,,,
Tiaris fuliginosus,Asemospiza fuliginosa,Tiaris fuliginosus,Fringilla fuliginosa,Tiaris fuliginosus,,
Tiaris obscurus,Asemospiza obscura,Tiaris obscurus,Emberiza obscura,Tiaris obscurus,,
Ashbyia lovensis,Ashbyia lovensis,,,,,
Asio abyssinicus,Asio abyssinicus,,,,,
Asio capensis,Asio capensis,,,,,
Pseudoscops clamator,Asio clamator,,,,,
Asio flammeus,Asio flammeus,,,,,
Pseudoscops grammicus,Asio grammicus,,,,,
Asio madagascariensis,Asio madagascariensis,,,,,
Asio otus,Asio otus,,,,,
Nesasio solomonensis,Asio solomonensis,,,,,
Asio stygius,Asio stygius,,,,,
Aspatha gularis,Aspatha gularis,,,,,
Asthenes anthoides,Asthenes anthoides,Asthenes anthoides,Asthenes anthoides,,,
Asthenes baeri,Asthenes baeri,Asthenes baeri,Asthenes baeri,,,
Asthenes berlepschi,Asthenes berlepschi,,,,,
Schizoeaca coryi,Asthenes coryi,Asthenes coryi,Asthenes coryi,,,
Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,,,
Schizoeaca fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,,,
Schizoeaca griseomurina,Asthenes griseomurina,Asthenes griseomurina,Asthenes griseomurina,,,
Schizoeaca harterti,Asthenes harterti,Asthenes harterti,Schizoeaca harterti,Asthenes harterti,,
Schizoeaca helleri,Asthenes helleri,,,,,
Asthenes heterura,Asthenes heterura,Asthenes heterura,Asthenes heterura,,,
Asthenes hudsoni,Asthenes hudsoni,,,,,
Asthenes humilis,Asthenes humilis,,,,,
Asthenes luizae,Asthenes luizae,,,,,
Asthenes maculicauda,Asthenes maculicauda,,,,,
Asthenes modesta,Asthenes modesta,Asthenes modesta,Asthenes modesta,,,
Oreophylax moreirae,Asthenes moreirae,Asthenes moreirae,Asthenes moreirae,,,
Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,,,
Schizoeaca palpebralis,Asthenes palpebralis,Asthenes palpebralis,Asthenes palpebralis,,,
Schizoeaca perijana,Asthenes perijana,Asthenes perijana,Schizoeaca perijana,Asthenes perijana,,
Asthenes pudibunda,Asthenes pudibunda,Asthenes pudibunda,Asthenes pudibunda,,,
Asthenes pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,,,
Asthenes sclateri,Asthenes sclateri,,,,,
Asthenes urubambensis,Asthenes urubambensis,Asthenes urubambensis,Asthenes urubambensis,,,
Asthenes virgata,Asthenes virgata,Asthenes virgata,Asthenes virgata,,,
Asthenes wyatti,Asthenes wyatti,Asthenes wyatti,Asthenes wyatti,,,
Astrapia mayeri,Astrapia mayeri,,,,,
Astrapia nigra,Astrapia nigra,,,,,
Astrapia rothschildi,Astrapia rothschildi,,,,,
Astrapia splendidissima,Astrapia splendidissima,,,,,
Astrapia stephaniae,Astrapia stephaniae,,,,,
Atalotriccus pilaris,Atalotriccus pilaris,Atalotriccus pilaris,Atalotriccus pilaris,,,
Atelornis crossleyi,Atelornis crossleyi,,,,,
Atelornis pittoides,Atelornis pittoides,,,,,
Heteroglaux blewitti,Athene blewitti,,,,,
Athene brama,Athene brama,,,,,
Athene cunicularia,Athene cunicularia,,,,,
Athene noctua,Athene noctua,,,,,
Ninox superciliaris,Athene superciliaris,,,,,
Chlorocichla flavicollis,Atimastillas flavicollis,,,,,
Atlantisia rogersi,Atlantisia rogersi,,,,,
Atlapetes albiceps,Atlapetes albiceps,,,,,
Atlapetes albinucha,Atlapetes albinucha,Atlapetes albinucha,,,,
Atlapetes albofrenatus,Atlapetes albofrenatus,Atlapetes albofrenatus,,,,
Atlapetes canigenis,Atlapetes canigenis,,,,,
Atlapetes citrinellus,Atlapetes citrinellus,,,,,
Atlapetes flaviceps,Atlapetes flaviceps,Atlapetes flaviceps,,,,
Atlapetes forbesi,Atlapetes forbesi,,,,,
