grid_id,mpd
lonn156p000000_lat62p000000,154.81582750973772
lonn156p000000_lat63p000000,154.6967480604902
lonn156p000000_lat64p000000,154.14689791265454
lonn156p000000_lat65p000000,153.68250549218985
lonn156p000000_lat66p000000,153.16748473445227
lonn156p000000_lat67p000000,154.57486181360227
lonn156p000000_lat68p000000,155.17760996252107
lonn156p000000_lat69p000000,154.86876376138267
lonn156p000000_lat70p000000,149.2548762252831
lonn155p000000_lat19p000000,146.21931174393876
lonn155p000000_lat56p000000,148.91469163283534
lonn155p000000_lat57p000000,148.87385114030303
lonn155p000000_lat58p000000,151.7634838743502
lonn155p000000_lat59p000000,151.29674338401256
lonn155p000000_lat60p000000,152.30379720501062
lonn155p000000_lat61p000000,153.80472476875016
lonn155p000000_lat62p000000,155.05916629938395
lonn155p000000_lat63p000000,154.57713969576014
lonn155p000000_lat64p000000,154.63928142131778
lonn155p000000_lat65p000000,154.02310013302667
lonn155p000000_lat66p000000,154.43780466807715
lonn155p000000_lat67p000000,154.96563403814136
lonn155p000000_lat68p000000,154.5673537241027
lonn155p000000_lat69p000000,154.06249877024757
lonn155p000000_lat70p000000,149.50206508319093
lonn154p000000_lat56p000000,148.91469163283534
lonn154p000000_lat57p000000,147.8217716877902
lonn154p000000_lat58p000000,149.8255237180685
lonn154p000000_lat59p000000,152.13197549043093
lonn154p000000_lat60p000000,152.20429418376807
lonn154p000000_lat61p000000,151.5340665413609
lonn154p000000_lat62p000000,155.43171530691788
lonn154p000000_lat63p000000,154.92441489069714
lonn154p000000_lat64p000000,154.23153579228838
lonn154p000000_lat65p000000,153.9546940105555
lonn154p000000_lat66p000000,154.32342189004262
lonn154p000000_lat67p000000,154.89907416922307
lonn154p000000_lat68p000000,154.63038804241737
lonn154p000000_lat69p000000,153.74019342955168
lonn154p000000_lat70p000000,150.78620161448194
lonn153p000000_lat57p000000,149.0596639177691
lonn153p000000_lat58p000000,151.3502234761223
lonn153p000000_lat59p000000,152.22001055972189
lonn153p000000_lat60p000000,151.83213287624514
lonn153p000000_lat61p000000,150.4123779059002
lonn153p000000_lat62p000000,153.2493569041774
lonn153p000000_lat63p000000,155.86927261381408
lonn153p000000_lat64p000000,154.15991386274763
lonn153p000000_lat65p000000,154.90947908921925
lonn153p000000_lat66p000000,154.61665348380896
lonn153p000000_lat67p000000,154.63129562152005
lonn153p000000_lat68p000000,154.69415674974192
lonn153p000000_lat69p000000,154.5442533533817
lonn153p000000_lat70p000000,150.77477831209285
lonn152p000000_lat58p000000,151.3502234761223
lonn152p000000_lat59p000000,149.9870331285135
lonn152p000000_lat60p000000,152.17621474742344
lonn152p000000_lat61p000000,151.4821157969525
lonn152p000000_lat62p000000,152.76650857120657
lonn152p000000_lat63p000000,155.1509059123473
lonn152p000000_lat64p000000,154.3759622315423
lonn152p000000_lat65p000000,155.31765545003236
lonn152p000000_lat66p000000,154.93498060518536
lonn152p000000_lat67p000000,155.0972835060891
lonn152p000000_lat68p000000,154.94205332523694
lonn152p000000_lat69p000000,153.35906454433743
lonn152p000000_lat70p000000,150.17648423481347
lonn151p000000_lat59p000000,150.4008280636112
lonn151p000000_lat60p000000,150.470457802474
lonn151p000000_lat61p000000,151.43883520271146
lonn151p000000_lat62p000000,152.76650857120657
lonn151p000000_lat63p000000,154.8328177220637
lonn151p000000_lat64p000000,155.04474178429848
lonn151p000000_lat65p000000,155.0507466914812
lonn151p000000_lat66p000000,155.24712670398316
lonn151p000000_lat67p000000,155.39645533934356
lonn151p000000_lat68p000000,154.56245588737806
lonn151p000000_lat69p000000,153.24347049977717
lonn151p000000_lat70p000000,151.077765626242
lonn150p000000_lat59p000000,150.2709697549789
lonn150p000000_lat60p000000,150.91647009924273
lonn150p000000_lat61p000000,151.4687459692929
lonn150p000000_lat62p000000,152.252807846951
lonn150p000000_lat63p000000,154.91766730553664
lonn150p000000_lat64p000000,154.59658875076153
lonn150p000000_lat65p000000,154.55389079380538
lonn150p000000_lat66p000000,155.56845517254527
lonn150p000000_lat67p000000,154.8468238721973
lonn150p000000_lat68p000000,155.1568931763659
lonn150p000000_lat69p000000,152.01319613691558
lonn150p000000_lat70p000000,150.92409023463335
lonn149p000000_lat59p000000,149.42506253173966
lonn149p000000_lat60p000000,151.07192598911547
lonn149p000000_lat61p000000,153.4394373175335
lonn149p000000_lat62p000000,152.6385874551644
lonn149p000000_lat63p000000,154.31015104890682
lonn149p000000_lat64p000000,154.4598667252548
lonn149p000000_lat65p000000,154.3245476701402
lonn149p000000_lat66p000000,155.5834809857976
lonn149p000000_lat67p000000,155.67311391270667
lonn149p000000_lat68p000000,155.74097720920344
lonn149p000000_lat69p000000,151.97990501539698
lonn149p000000_lat70p000000,150.3148798485908
lonn148p000000_lat59p000000,148.7340812360058
lonn148p000000_lat60p000000,149.0939441929036
lonn148p000000_lat61p000000,152.37248594803827
lonn148p000000_lat62p000000,152.07716831201853
lonn148p000000_lat63p000000,154.23245623401752
lonn148p000000_lat64p000000,154.19029103680816
lonn148p000000_lat65p000000,153.93382750792176
lonn148p000000_lat66p000000,155.4759170411338
lonn148p000000_lat67p000000,156.27515217082896
lonn148p000000_lat68p000000,156.0434348155604
lonn148p000000_lat69p000000,152.73634757632414
lonn147p000000_lat59p000000,149.47609185652092
lonn147p000000_lat60p000000,148.65940108032507
lonn147p000000_lat61p000000,151.5842248973084
lonn147p000000_lat62p000000,151.58103387845642
lonn147p000000_lat63p000000,154.05893026192848
lonn147p000000_lat64p000000,153.9750148951148
lonn147p000000_lat65p000000,152.971875529451
lonn147p000000_lat66p000000,154.9239552818046
lonn147p000000_lat67p000000,155.58604491494708
lonn147p000000_lat68p000000,156.12202843681754
lonn147p000000_lat69p000000,152.73634757632414
lonn146p000000_lat60p000000,150.0167039261641
lonn146p000000_lat61p000000,149.99664951312116
lonn146p000000_lat62p000000,152.17790986947557
lonn146p000000_lat63p000000,153.60161457663753
lonn146p000000_lat64p000000,153.75755932012973
lonn146p000000_lat65p000000,152.971875529451
lonn146p000000_lat66p000000,154.77372867096292
lonn146p000000_lat67p000000,156.5762220462566
lonn146p000000_lat68p000000,156.46174092788087
lonn146p000000_lat69p000000,153.21934726447813
lonn145p000000_lat59p000000,150.76600394425824
lonn145p000000_lat60p000000,150.16013158362534
lonn145p000000_lat61p000000,149.82318439579961
lonn145p000000_lat62p000000,152.29033454933233
lonn145p000000_lat63p000000,153.89132361188396
lonn145p000000_lat64p000000,153.563365014452
lonn145p000000_lat65p000000,153.6008845936956
lonn145p000000_lat66p000000,154.26951177024077
lonn145p000000_lat67p000000,156.5019083860332
lonn145p000000_lat68p000000,155.77890673246927
lonn145p000000_lat69p000000,153.59433545952328
lonn144p000000_lat59p000000,150.30459997779036
lonn144p000000_lat60p000000,150.12957008502272
lonn144p000000_lat61p000000,151.1970910983995
lonn144p000000_lat62p000000,153.1146157059381
lonn144p000000_lat63p000000,154.55869512524217
lonn144p000000_lat64p000000,153.62830137453827
lonn144p000000_lat65p000000,152.93095545897222
lonn144p000000_lat66p000000,154.24852213992165
lonn144p000000_lat67p000000,156.30937707492788
lonn144p000000_lat68p000000,155.65997039994858
lonn144p000000_lat69p000000,153.94887163596172
lonn143p000000_lat60p000000,150.35995615963404
lonn143p000000_lat61p000000,150.39929717498217
lonn143p000000_lat62p000000,153.03728235831827
lonn143p000000_lat63p000000,154.18007720338343
lonn143p000000_lat64p000000,153.3025721583974
lonn143p000000_lat65p000000,152.93095545897222
lonn143p000000_lat66p000000,154.05293022135461
lonn143p000000_lat67p000000,155.97851541848559
lonn143p000000_lat68p000000,155.17986840141168
lonn143p000000_lat69p000000,153.68857321511337
lonn142p000000_lat59p000000,150.26348312846812
lonn142p000000_lat60p000000,149.23075052385036
lonn142p000000_lat61p000000,148.428694529875
lonn142p000000_lat62p000000,153.03728235831827
lonn142p000000_lat63p000000,153.42619727159862
lonn142p000000_lat64p000000,152.82500287846167
lonn142p000000_lat65p000000,152.9730581658559
lonn142p000000_lat66p000000,154.511292167524
lonn142p000000_lat67p000000,157.213850828579
lonn142p000000_lat68p000000,155.28268446117016
lonn142p000000_lat69p000000,153.2402039604742
lonn141p000000_lat59p000000,149.10567745516312
lonn141p000000_lat60p000000,147.8703148794188
lonn141p000000_lat61p000000,147.5254390715234
lonn141p000000_lat62p000000,152.65858108309732
lonn141p000000_lat63p000000,153.4283532290913
lonn141p000000_lat64p000000,153.50933783466735
lonn141p000000_lat65p000000,153.65309686279366
lonn141p000000_lat66p000000,155.77176426315117
lonn141p000000_lat67p000000,156.68258385112688
lonn141p000000_lat68p000000,155.32546682502337
lonn141p000000_lat69p000000,153.59768343266293
lonn140p000000_lat59p000000,149.23964069402996
lonn140p000000_lat60p000000,148.7227966401351
lonn140p000000_lat61p000000,146.94099036389824
lonn140p000000_lat62p000000,151.8339290961846
lonn140p000000_lat63p000000,151.84587699506875
lonn140p000000_lat64p000000,152.58035094041324
lonn140p000000_lat65p000000,152.96513166129304
lonn140p000000_lat66p000000,155.4709522583996
lonn140p000000_lat67p000000,157.09608751074006
lonn140p000000_lat68p000000,154.40988950018206
lonn140p000000_lat69p000000,152.39012285757397
lonn139p000000_lat58p000000,150.91230819570913
lonn139p000000_lat59p000000,148.53792372470681
lonn139p000000_lat60p000000,148.31051392581602
lonn139p000000_lat61p000000,148.08745557050338
lonn139p000000_lat62p000000,150.47740006282797
lonn139p000000_lat63p000000,150.76488231680142
lonn139p000000_lat64p000000,152.1028686848403
lonn139p000000_lat65p000000,152.7376859787515
lonn139p000000_lat66p000000,155.73193325454014
lonn139p000000_lat67p000000,156.70855989792418
lonn139p000000_lat68p000000,154.34925640864563
lonn139p000000_lat69p000000,152.99414178529088
lonn138p000000_lat58p000000,151.3722756664309
lonn138p000000_lat59p000000,151.71685211814497
lonn138p000000_lat60p000000,149.06139444891232
lonn138p000000_lat61p000000,149.7380455723282
lonn138p000000_lat62p000000,151.6391550935741
lonn138p000000_lat63p000000,151.8230182850546
lonn138p000000_lat64p000000,151.71212727789884
lonn138p000000_lat65p000000,153.72797216109484
lonn138p000000_lat66p000000,155.9944262428643
lonn138p000000_lat67p000000,156.03317851573257
lonn138p000000_lat68p000000,153.9379359585884
lonn138p000000_lat69p000000,152.7177742564299
lonn137p000000_lat57p000000,153.28931250119658
lonn137p000000_lat58p000000,150.99882154940818
lonn137p000000_lat59p000000,150.58432977728518
lonn137p000000_lat60p000000,148.89909119241332
lonn137p000000_lat61p000000,149.67480201732727
lonn137p000000_lat62p000000,150.2879883403033
lonn137p000000_lat63p000000,151.94303900489294
lonn137p000000_lat64p000000,150.9417621422962
lonn137p000000_lat65p000000,153.72104653772007
lonn137p000000_lat66p000000,155.2197960561651
lonn137p000000_lat67p000000,156.25023363701976
lonn137p000000_lat68p000000,153.29083486619157
lonn137p000000_lat69p000000,151.19994264652874
lonn136p000000_lat56p000000,153.87086392401017
lonn136p000000_lat57p000000,153.22895325416042
lonn136p000000_lat58p000000,151.42200454712363
