grid_id,observed_fdis,null_mean_fdis,null_sd_fdis,n_valid_perms,ses_fdis,p_value_fdis_higher
lon116p000000_lat37p000000,0.10784000117156872,0.12006643439683265,0.005881444982900573,99,-2.078814519358842,0.98
lon116p000000_lat38p000000,0.1075943728221829,0.11981129230021194,0.005644148607440163,99,-2.164528315559338,0.97
lon116p000000_lat39p000000,0.11066066094329192,0.12033451033223824,0.005179794904992581,99,-1.8676124376318668,0.98
lon116p000000_lat40p000000,0.11335334601847942,0.12101640998328463,0.004972635632408428,99,-1.5410467468925941,0.93
lon116p000000_lat41p000000,0.11363589948796939,0.12017918942263782,0.005445722102354096,99,-1.201546794288287,0.88
lon116p000000_lat42p000000,0.11164424431327,0.12044970214187646,0.004966080321811937,99,-1.7731202997122855,0.98
lon116p000000_lat43p000000,0.11052519351857422,0.12058255944574386,0.005587873085006494,99,-1.7998558260308013,0.96
lon116p000000_lat44p000000,0.10749410634968731,0.1206669190577579,0.00514824860594762,99,-2.5586978633573403,0.99
lon116p000000_lat45p000000,0.10347183607409022,0.11876853643796871,0.006450694822779733,99,-2.3713260019463824,0.98
lon116p000000_lat46p000000,0.1053177507749028,0.12016768730486291,0.0049774225794260675,99,-2.9834590680207858,1
lon116p000000_lat47p000000,0.10645147119152913,0.12022612908416688,0.0056259755851262175,99,-2.4484034251863394,1
lon116p000000_lat48p000000,0.10642201544022595,0.12094469995317578,0.005508419845393787,99,-2.6364519990417743,0.98
lon116p000000_lat49p000000,0.10883554110179287,0.12117926774914359,0.004105402599793642,99,-3.00670308143985,1
lon116p000000_lat50p000000,0.1089205498612168,0.12104523692717371,0.0041164189599676645,99,-2.945445345546693,0.99
lon116p000000_lat51p000000,0.10895965832505387,0.12066774421809284,0.003942080298002281,99,-2.970027246520637,1
lon116p000000_lat52p000000,0.10717949060233953,0.12090994166724593,0.003883040794326504,99,-3.5360048457301594,0.99
lon116p000000_lat53p000000,0.10731320289088037,0.12007078201186584,0.003907387574663888,99,-3.2649894276440903,1
lon116p000000_lat54p000000,0.11060509159011614,0.12066143419305946,0.0036331951936496953,99,-2.767905952457595,1
lon116p000000_lat55p000000,0.11183244031044356,0.12056798294096321,0.00408914118350215,99,-2.136278068794407,0.98
lon116p000000_lat56p000000,0.11085500313268407,0.12009540040907102,0.0049045272340609855,99,-1.8840546367474922,0.96
lon116p000000_lat57p000000,0.11162454064022265,0.12025695634493833,0.0051976811003171626,99,-1.6608205732723635,0.92
lon116p000000_lat58p000000,0.11073337966473312,0.12118344471727245,0.004127620441105398,99,-2.531740793913877,1
lon116p000000_lat59p000000,0.11292324894606558,0.12092279033034248,0.0042449683308695505,99,-1.8844761045928118,0.97
lon116p000000_lat60p000000,0.11458436774338551,0.12064372035653849,0.0046950719875362215,99,-1.2905771475364902,0.88
lon116p000000_lat61p000000,0.11474718120329867,0.12030718335556131,0.004854231815930505,99,-1.1453927960374606,0.87
lon116p000000_lat62p000000,0.11702554118478657,0.12035972847958432,0.004603441526353407,99,-0.7242814480667258,0.76
lon116p000000_lat63p000000,0.1143708031272031,0.12014350368871564,0.0054917600539497674,99,-1.0511567338709038,0.83
lon116p000000_lat64p000000,0.11583826881941746,0.12088487064041055,0.0051441231144737296,99,-0.981042192943196,0.88
lon116p000000_lat65p000000,0.11593077865893334,0.11961059578229506,0.0061114680272828315,99,-0.6021167266087749,0.75
lon116p000000_lat66p000000,0.11838467815747751,0.11951142491961628,0.005979233023183209,99,-0.18844336017178873,0.58
lon116p000000_lat67p000000,0.11833109705089927,0.11894225122347742,0.007057551077968997,99,-0.08659578454712724,0.57
lon116p000000_lat68p000000,0.11712013574318252,0.1197627914653948,0.006855663545200644,99,-0.3854704515162932,0.62
